InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,price_total
537780,91017,PRODUTO TESTE,45,2011-01-13,17.7,10017,United Kingdom,796.5
536304,76668,PRODUTO TESTE,35,2011-09-21,5.59,10154,United Kingdom,195.65
541645,28625,PRODUTO TESTE,17,2011-03-20,15.45,10130,United Kingdom,262.65
542953,99339,PRODUTO TESTE,3,2011-07-26,24.93,10086,United Kingdom,74.78999999999999
544554,13687,PRODUTO TESTE,8,2011-03-15,8.99,10171,United Kingdom,71.92
540476,12310,PRODUTO TESTE,17,2011-06-21,15.98,10017,United Kingdom,271.66
543462,32042,PRODUTO TESTE,43,2011-01-14,47.7,10139,United Kingdom,2051.1
542446,81456,PRODUTO TESTE,1,2011-09-14,21.88,10040,United Kingdom,21.88
538494,63796,PRODUTO TESTE,26,2011-04-21,22.36,10018,United Kingdom,581.36
543606,56134,PRODUTO TESTE,14,2011-05-20,8.08,10105,United Kingdom,113.12
541390,53168,PRODUTO TESTE,29,2011-05-14,40.83,10147,United Kingdom,1184.07
544463,67379,PRODUTO TESTE,33,2011-05-25,39.42,10152,United Kingdom,1300.8600000000001
541930,15739,PRODUTO TESTE,47,2011-03-24,22.06,10143,United Kingdom,1036.82
544433,62775,PRODUTO TESTE,22,2011-12-24,44.74,10157,United Kingdom,984.2800000000001
536505,29874,PRODUTO TESTE,12,2011-04-13,19.32,10102,United Kingdom,231.84
540791,80918,PRODUTO TESTE,41,2011-03-08,43.28,10025,United Kingdom,1774.48
543025,27586,PRODUTO TESTE,8,2011-07-20,2.06,10167,United Kingdom,16.48
541780,16381,PRODUTO TESTE,32,2011-04-27,17.69,10090,United Kingdom,566.08
543924,49125,PRODUTO TESTE,46,2011-06-15,42.83,10100,France,1970.1799999999998
542143,56669,PRODUTO TESTE,45,2011-01-29,37.94,10036,Germany,1707.3
539777,87403,PRODUTO TESTE,6,2011-07-05,33.66,10185,United Kingdom,201.95999999999998
543849,72985,PRODUTO TESTE,21,2011-01-08,40.87,10156,United Kingdom,858.27
537075,42648,PRODUTO TESTE,9,2011-01-17,35.52,10128,United Kingdom,319.68
538287,75394,PRODUTO TESTE,2,2011-02-03,13.08,10080,United Kingdom,26.16
536870,55340,PRODUTO TESTE,33,2011-03-01,23.58,10164,United Kingdom,778.14
542318,30138,PRODUTO TESTE,21,2011-05-08,33.2,10109,United Kingdom,697.2
538094,11942,PRODUTO TESTE,23,2011-12-08,29.6,10088,United Kingdom,680.8000000000001
538854,10359,PRODUTO TESTE,21,2011-11-27,44.31,10090,United Kingdom,930.51
543529,30175,PRODUTO TESTE,36,2011-02-07,23.96,10045,Germany,862.5600000000001
539241,83716,PRODUTO TESTE,48,2011-12-28,9.31,10018,United Kingdom,446.88
537312,51728,PRODUTO TESTE,23,2011-08-20,11.12,10110,United Kingdom,255.76
536188,50657,PRODUTO TESTE,3,2011-07-22,42.38,10177,United Kingdom,127.14000000000001
538040,45906,PRODUTO TESTE,13,2011-10-17,0.93,10012,United Kingdom,12.09
544232,33037,PRODUTO TESTE,22,2011-06-26,43.52,10171,Germany,957.44
544953,11148,PRODUTO TESTE,7,2011-07-13,19.89,10055,Germany,139.23000000000002
537936,65068,PRODUTO TESTE,6,2011-09-22,40.11,10126,United Kingdom,240.66
539163,94321,PRODUTO TESTE,48,2011-09-07,20.68,10033,United Kingdom,992.64
537468,89224,PRODUTO TESTE,17,2011-03-04,41.21,10151,United Kingdom,700.57
539585,43237,PRODUTO TESTE,43,2011-12-09,5.46,10140,United Kingdom,234.78
541069,86928,PRODUTO TESTE,25,2011-04-14,25.82,10070,United Kingdom,645.5
543273,31386,PRODUTO TESTE,22,2011-10-27,29.33,10013,United Kingdom,645.26
539312,31709,PRODUTO TESTE,46,2011-04-24,44.6,10194,Eire,2051.6
542943,40913,PRODUTO TESTE,33,2011-01-24,5.13,10089,United Kingdom,169.29
541635,11587,PRODUTO TESTE,8,2011-12-30,17.26,10178,United Kingdom,138.08
538626,33904,PRODUTO TESTE,10,2011-08-03,33.14,10135,United Kingdom,331.4
544209,86901,PRODUTO TESTE,31,2011-03-20,49.01,10155,Eire,1519.31
537358,39620,PRODUTO TESTE,3,2011-02-17,42.4,10038,United Kingdom,127.19999999999999
544220,41239,PRODUTO TESTE,34,2011-12-04,28.43,10093,United Kingdom,966.62
536445,20706,PRODUTO TESTE,19,2011-03-06,43.0,10099,United Kingdom,817.0
