CustomerID,R,F,M
10000,12.0,23,683.8782608695652
10001,36.0,20,391.779
10002,39.0,15,580.6766666666666
10003,3.0,16,616.5600000000001
10004,22.0,27,580.9566666666667
10005,3.0,17,423.5276470588235
10006,30.0,17,567.8476470588236
10007,3.0,26,584.2423076923077
10008,1.0,26,677.6737037037036
10009,17.0,18,503.2638888888889
10010,1.0,22,442.10086956521735
10011,46.0,22,818.9394655172414
10012,49.099999999999966,18,584.9088888888889
10013,20.0,27,414.4096296296296
10014,7.0,20,700.3875
10015,12.0,14,390.37928571428574
10016,14.0,18,754.6461111111112
10017,11.0,22,546.4518181818182
10018,4.0,26,442.5307692307692
10019,49.099999999999966,29,745.7465625
10020,5.0,29,473.1003448275862
10021,13.0,26,726.4150000000001
10022,6.0,24,568.6354166666666
10023,13.0,23,818.9394655172414
10024,15.0,22,625.1513636363636
10025,6.0,27,816.5366666666667
10026,14.0,26,610.0611538461538
10027,21.0,23,508.8478260869565
10028,5.0,21,536.132380952381
10029,27.0,16,666.465
10030,3.0,29,510.96620689655174
10031,2.0,21,492.3347619047619
10032,14.0,28,567.4289285714286
10033,16.0,25,619.7280000000001
10034,44.0,21,572.8090476190476
10035,29.0,27,515.0370370370371
10036,27.0,18,592.0461111111111
10037,3.0,29,520.9451724137931
10038,8.0,23,685.7773913043478
10039,1.0,29,593.4096551724139
10040,2.0,25,539.0072
10041,2.0,19,623.2700000000001
10042,3.0,18,525.0816666666666
10043,23.0,17,587.7647058823529
10044,14.0,21,625.1671428571428
10045,41.0,19,818.9394655172414
10046,9.0,16,636.475
10047,1.0,26,563.1696153846153
10048,13.0,25,677.5480769230769
10049,12.0,25,532.4684000000001
10050,49.099999999999966,18,765.465
10051,16.0,21,594.3542857142858
10052,28.0,26,752.2676923076923
10053,20.0,22,341.605
10054,5.0,18,677.0949999999999
10055,1.0,18,486.3500000000001
10056,31.0,27,647.6514814814815
10057,2.0,29,818.9394655172414
10058,25.0,18,591.8616666666667
10059,10.0,25,545.0488
10060,1.0,24,536.6374999999999
10061,14.0,27,704.3977777777778
10062,42.0,21,516.9171428571428
10063,26.0,22,422.2486363636363
10064,28.0,26,404.94038461538463
10065,5.0,22,513.3772727272727
10066,30.0,22,554.6777272727272
10067,11.0,26,644.8999999999999
10068,10.0,28,727.7089285714285
10069,15.0,23,735.5704347826087
10070,19.0,12,633.6658333333334
10071,14.0,17,689.7529411764707
10072,28.0,20,779.1535
10073,1.0,25,797.046
10074,4.0,24,553.5758333333333
10075,1.0,21,680.2957142857142
10076,6.0,22,725.0977272727273
10077,49.099999999999966,18,601.2494444444444
10078,15.0,25,465.7
10079,2.0,18,547.3061111111111
10080,4.0,28,491.21714285714285
10081,5.0,18,763.358947368421
10082,32.0,29,818.9394655172414
10083,32.0,29,722.6972413793104
10084,35.0,21,640.2109523809524
10085,3.0,18,505.96999999999997
10086,29.0,26,684.5292307692307
10087,5.0,25,554.0972
10088,15.0,22,651.815
10089,5.0,29,597.0717647058823
10090,17.0,27,566.4322222222222
10091,37.0,20,783.4835
10092,23.0,28,529.2867857142857
10093,1.0,29,672.9110344827585
10094,34.0,20,649.5815
10095,13.0,27,711.1510714285714
10096,49.0,17,770.1400000000001
10097,23.0,14,723.1714285714286
10098,49.099999999999966,23,625.1921739130435
10099,15.0,22,577.1086363636364
10100,8.0,27,698.7985185185184
10101,2.0,25,730.2076
10102,23.0,14,591.9228571428572
10103,4.0,19,436.68
10104,28.0,29,459.4335483870968
10105,5.0,26,608.9396153846154
