InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537780,91017,PRODUTO TESTE,45,01/13/2011 00:00,17.7,10017.0,United Kingdom
536304,76668,PRODUTO TESTE,35,09/21/2011 00:00,5.59,10154.0,United Kingdom
541645,28625,PRODUTO TESTE,17,03/20/2011 00:00,15.45,10130.0,United Kingdom
542147,99621,PRODUTO TESTE,-1,09/17/2011 00:00,40.43,10087.0,United Kingdom
542953,99339,PRODUTO TESTE,3,07/26/2011 00:00,24.93,10086.0,United Kingdom
544554,13687,PRODUTO TESTE,8,03/15/2011 00:00,8.99,10171.0,United Kingdom
540476,12310,PRODUTO TESTE,17,06/21/2011 00:00,15.98,10017.0,United Kingdom
543462,32042,PRODUTO TESTE,43,01/14/2011 00:00,47.7,10139.0,United Kingdom
542446,81456,PRODUTO TESTE,1,09/14/2011 00:00,21.88,10040.0,United Kingdom
538494,63796,PRODUTO TESTE,26,04/21/2011 00:00,22.36,10018.0,United Kingdom
543606,56134,PRODUTO TESTE,14,05/20/2011 00:00,8.08,10105.0,United Kingdom
536479,47367,PRODUTO TESTE,-3,02/27/2011 00:00,15.58,10195.0,United Kingdom
541390,53168,PRODUTO TESTE,29,05/14/2011 00:00,40.83,10147.0,United Kingdom
544463,67379,PRODUTO TESTE,33,05/25/2011 00:00,39.42,10152.0,United Kingdom
541930,15739,PRODUTO TESTE,47,03/24/2011 00:00,22.06,10143.0,United Kingdom
544433,62775,PRODUTO TESTE,22,12/24/2011 00:00,44.74,10157.0,United Kingdom
536505,29874,PRODUTO TESTE,12,04/13/2011 00:00,19.32,10102.0,United Kingdom
540791,80918,PRODUTO TESTE,41,03/08/2011 00:00,43.28,10025.0,United Kingdom
543025,27586,PRODUTO TESTE,8,07/20/2011 00:00,2.06,10167.0,United Kingdom
541780,16381,PRODUTO TESTE,32,04/27/2011 00:00,17.69,10090.0,United Kingdom
543924,49125,PRODUTO TESTE,46,06/15/2011 00:00,42.83,10100.0,France
540163,49655,PRODUTO TESTE,-5,09/22/2011 00:00,45.11,10074.0,United Kingdom
542143,56669,PRODUTO TESTE,45,01/29/2011 00:00,37.94,10036.0,Germany
539777,87403,PRODUTO TESTE,6,07/05/2011 00:00,33.66,10185.0,United Kingdom
543849,72985,PRODUTO TESTE,21,01/08/2011 00:00,40.87,10156.0,United Kingdom
537075,42648,PRODUTO TESTE,9,01/17/2011 00:00,35.52,10128.0,United Kingdom
538287,75394,PRODUTO TESTE,2,02/03/2011 00:00,13.08,10080.0,United Kingdom
536870,55340,PRODUTO TESTE,33,03/01/2011 00:00,23.58,10164.0,United Kingdom
542318,30138,PRODUTO TESTE,21,05/08/2011 00:00,33.2,10109.0,United Kingdom
538094,11942,PRODUTO TESTE,23,12/08/2011 00:00,29.6,10088.0,United Kingdom
538854,10359,PRODUTO TESTE,21,11/27/2011 00:00,44.31,10090.0,United Kingdom
543529,30175,PRODUTO TESTE,36,02/07/2011 00:00,23.96,10045.0,Germany
539241,83716,PRODUTO TESTE,48,12/28/2011 00:00,9.31,10018.0,United Kingdom
537312,51728,PRODUTO TESTE,23,08/20/2011 00:00,11.12,10110.0,United Kingdom
536188,50657,PRODUTO TESTE,3,07/22/2011 00:00,42.38,10177.0,United Kingdom
538040,45906,PRODUTO TESTE,13,10/17/2011 00:00,0.93,10012.0,United Kingdom
544232,33037,PRODUTO TESTE,22,06/26/2011 00:00,43.52,10171.0,Germany
540937,74318,PRODUTO TESTE,0,04/07/2011 00:00,3.25,10165.0,United Kingdom
544953,11148,PRODUTO TESTE,7,07/13/2011 00:00,19.89,10055.0,Germany
537936,65068,PRODUTO TESTE,6,09/22/2011 00:00,40.11,10126.0,United Kingdom
539163,94321,PRODUTO TESTE,48,09/07/2011 00:00,20.68,10033.0,United Kingdom
537468,89224,PRODUTO TESTE,17,03/04/2011 00:00,41.21,10151.0,United Kingdom
